"lance","camp","sector","validez","lat","long","prof","talla","sexo","numero"
44,"N83","2C",1,43.8192,-8.6916,405,34,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,35,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,35,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,36,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,40,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,42,"1",3
44,"N83","2C",1,43.8192,-8.6916,405,43,"1",1
45,"N83","2C",1,43.625,-8.8567,245,27,"2",1
45,"N83","2C",1,43.625,-8.8567,245,32,"1",1
46,"N83","2C",1,43.5267,-9.0325,220,26,"2",2
47,"N83","2C",1,43.3333,-9.4208,277,17,"2",1
47,"N83","2C",1,43.3333,-9.4208,277,18,"2",1
47,"N83","2C",1,43.3333,-9.4208,277,24,"2",2
47,"N83","2C",1,43.3333,-9.4208,277,26,"2",2
47,"N83","2C",1,43.3333,-9.4208,277,27,"2",1
47,"N83","2C",1,43.3333,-9.4208,277,32,"1",1
47,"N83","2C",1,43.3333,-9.4208,277,34,"1",1
47,"N83","2C",1,43.3333,-9.4208,277,35,"1",1
48,"N83","2C",1,43.2734,-9.4352,216,32,"2",1
48,"N83","2C",1,43.2734,-9.4352,216,36,"1",1
48,"N83","2C",1,43.2734,-9.4352,216,37,"1",2
48,"N83","2C",1,43.2734,-9.4352,216,38,"1",1
48,"N83","2C",1,43.2734,-9.4352,216,39,"2",1
48,"N83","2C",1,43.2734,-9.4352,216,43,"1",1
48,"N83","2C",1,43.2734,-9.4352,216,44,"1",1
49,"N83","2C",1,43.06,-9.5584,273,26,"2",1
49,"N83","2C",1,43.06,-9.5584,273,30,"2",2
49,"N83","2C",1,43.06,-9.5584,273,32,"1",1
49,"N83","2C",1,43.06,-9.5584,273,32,"2",1
49,"N83","2C",1,43.06,-9.5584,273,34,"1",1
49,"N83","2C",1,43.06,-9.5584,273,35,"2",1
49,"N83","2C",1,43.06,-9.5584,273,36,"1",1
49,"N83","2C",1,43.06,-9.5584,273,36,"2",1
49,"N83","2C",1,43.06,-9.5584,273,38,"1",1
49,"N83","2C",1,43.06,-9.5584,273,39,"1",1
49,"N83","2C",1,43.06,-9.5584,273,40,"1",3
49,"N83","2C",1,43.06,-9.5584,273,42,"1",1
