"","gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"402","1"," 79",39,43.841,-8.4835,236.5,65,2,"N00","Scyliorhinus canicula"
"405","1"," 79",42,43.7136,-8.3951,163.5,1070,2,"N00","Scyliorhinus canicula"
"406","1"," 79",43,43.6917,-8.515,173.5,1860,7,"N00","Scyliorhinus canicula"
"409","1"," 79",46,43.455,-8.8146,151.5,940,2,"N00","Scyliorhinus canicula"
"410","1"," 79",47,43.4866,-8.6249,141.5,2730,5,"N00","Scyliorhinus canicula"
"411","1"," 79",48,43.4678,-8.6997,138.5,2915,7,"N00","Scyliorhinus canicula"
"412","1"," 79",49,43.4447,-8.4951,99.5,13500,51,"N00","Scyliorhinus canicula"
"413","1"," 79",50,43.838,-7.9095,126.5,2120,7,"N00","Scyliorhinus canicula"
"414","1"," 79",51,43.9198,-8.0607,184,495,1,"N00","Scyliorhinus canicula"
"415","1"," 79",52,44.0427,-8.018,232.5,395,2,"N00","Scyliorhinus canicula"
"417","1"," 79",54,43.3679,-8.7695,92,7480,23,"N00","Scyliorhinus canicula"
"418","1"," 79",55,43.392,-8.6475,103,1870,4,"N00","Scyliorhinus canicula"
"419","1"," 79",56,43.5324,-8.5255,140.5,305,1,"N00","Scyliorhinus canicula"
"421","1"," 79",58,43.7885,-7.5382,115,775,2,"N00","Scyliorhinus canicula"
"422","1"," 79",59,43.9945,-7.5617,181.5,60,1,"N00","Scyliorhinus canicula"
"424","1"," 79",61,43.9557,-7.2103,175,255,6,"N00","Scyliorhinus canicula"
"425","1"," 79",62,43.8576,-7.3249,155,460,1,"N00","Scyliorhinus canicula"
"426","1"," 79",63,43.5955,-6.1066,58,3220,5,"N00","Scyliorhinus canicula"
"427","1"," 79",64,43.6868,-6.0831,111.5,7420,21,"N00","Scyliorhinus canicula"
"428","1"," 79",65,43.7895,-6.0969,221.5,8420,46,"N00","Scyliorhinus canicula"
"429","1"," 79",66,43.6874,-6.266,129.5,23485,85,"N00","Scyliorhinus canicula"
"430","1"," 79",68,43.7159,-6.4108,133.5,9400,45,"N00","Scyliorhinus canicula"
"433","1"," 79",71,43.7066,-7.0306,122.5,3315,12,"N00","Scyliorhinus canicula"
"435","1"," 79",73,43.9931,-7.0689,188.5,255,3,"N00","Scyliorhinus canicula"
"438","1"," 79",76,43.9697,-6.7527,285.5,2500,7,"N00","Scyliorhinus canicula"
"440","1"," 79",78,43.8983,-6.5349,232,5900,12,"N00","Scyliorhinus canicula"
"441","1"," 79",79,43.9235,-6.6224,177,1650,19,"N00","Scyliorhinus canicula"
"442","1"," 79",80,43.7968,-6.5794,139,40400,109,"N00","Scyliorhinus canicula"
"444","1"," 79",82,43.8469,-5.7763,173.5,4225,14,"N00","Scyliorhinus canicula"
"446","1"," 79",84,43.7601,-5.3821,155,2140,4,"N00","Scyliorhinus canicula"
"450","1"," 79",88,43.6677,-5.6729,93,4590,9,"N00","Scyliorhinus canicula"
"451","1"," 79",89,43.6308,-5.4002,116.5,9350,19,"N00","Scyliorhinus canicula"
"452","1"," 79",90,43.7049,-5.1851,154.5,610,1,"N00","Scyliorhinus canicula"
"453","1"," 79",91,43.7278,-4.9896,180,25600,88,"N00","Scyliorhinus canicula"
"454","1"," 79",92,43.4809,-4.7302,93.5,84895,179,"N00","Scyliorhinus canicula"
"455","1"," 79",93,43.5773,-4.8556,141.5,31160,88,"N00","Scyliorhinus canicula"
"456","1"," 79",94,43.6375,-4.9948,388,12400,17,"N00","Scyliorhinus canicula"
"459","1"," 79",97,43.6551,-4.8076,186.5,16500,63,"N00","Scyliorhinus canicula"
"460","1"," 79",98,43.585,-4.6699,173,1630,4,"N00","Scyliorhinus canicula"
"461","1"," 79",99,43.5078,-4.5613,239.5,5530,8,"N00","Scyliorhinus canicula"
"462","1"," 79",100,43.6399,-4.5703,195,2485,3,"N00","Scyliorhinus canicula"
"464","1"," 79",102,43.5472,-4.2695,161.5,41635,167,"N00","Scyliorhinus canicula"
"465","1"," 79",103,43.4639,-4.3228,111.5,900,1,"N00","Scyliorhinus canicula"
"466","1"," 79",104,43.467,-4.1264,83,660,1,"N00","Scyliorhinus canicula"
"467","1"," 79",105,43.5511,-3.8784,110.5,2520,3,"N00","Scyliorhinus canicula"
"468","1"," 79",106,43.5122,-3.7493,40,2900,5,"N00","Scyliorhinus canicula"
"469","1"," 79",107,43.6683,-3.7794,238,16150,166,"N00","Scyliorhinus canicula"
"470","1"," 79",108,43.65,-3.7666,190,7870,48,"N00","Scyliorhinus canicula"
"473","1"," 79",111,43.5775,-3.287,185.5,3585,40,"N00","Scyliorhinus canicula"
"474","1"," 79",112,43.5926,-3.1751,271,4300,80,"N00","Scyliorhinus canicula"
"475","1"," 79",113,43.5181,-2.8984,131.5,17100,79,"N00","Scyliorhinus canicula"
"476","1"," 79",114,43.5916,-2.6776,326.5,37617.0468187275,59,"N00","Scyliorhinus canicula"
"477","1"," 79",115,43.5264,-2.4509,206.5,11400,51,"N00","Scyliorhinus canicula"
"478","1"," 79",116,43.4613,-2.3284,136.5,3800,20,"N00","Scyliorhinus canicula"
"479","1"," 79",117,43.393,-2.3025,101.5,19350,59,"N00","Scyliorhinus canicula"
"480","1"," 79",118,43.3692,-2.0338,97,5560,12,"N00","Scyliorhinus canicula"
"481","1"," 79",119,43.3781,-2.2492,98,27440,69,"N00","Scyliorhinus canicula"
"482","1"," 79",120,43.4385,-2.2219,139,3055,21,"N00","Scyliorhinus canicula"
"483","1"," 79",121,43.5587,-1.9162,152.5,2370,15,"N00","Scyliorhinus canicula"
"484","1"," 79",122,43.5223,-2.0501,175.5,8700,46,"N00","Scyliorhinus canicula"
"508","1"," 68",24,43.3136,-9.2785,168.5,20,1,"N00","Raja clavata"
"533","1"," 68",49,43.4447,-8.4951,99.5,6130,3,"N00","Raja clavata"
"534","1"," 68",50,43.838,-7.9095,126.5,675,2,"N00","Raja clavata"
"538","1"," 68",54,43.3679,-8.7695,92,17600,35,"N00","Raja clavata"
"539","1"," 68",55,43.392,-8.6475,103,20650,25,"N00","Raja clavata"
"547","1"," 68",63,43.5955,-6.1066,58,7750,2,"N00","Raja clavata"
"551","1"," 68",68,43.7159,-6.4108,133.5,1890,5,"N00","Raja clavata"
"557","1"," 68",74,43.6198,-7.053,106,7100,16,"N00","Raja clavata"
"563","1"," 68",80,43.7968,-6.5794,139,4450,7,"N00","Raja clavata"
"567","1"," 68",84,43.7601,-5.3821,155,11500,5,"N00","Raja clavata"
"573","1"," 68",90,43.7049,-5.1851,154.5,13950,22,"N00","Raja clavata"
"576","1"," 68",93,43.5773,-4.8556,141.5,56000,52,"N00","Raja clavata"
"580","1"," 68",97,43.6551,-4.8076,186.5,1555,2,"N00","Raja clavata"
"589","1"," 68",106,43.5122,-3.7493,40,2500,1,"N00","Raja clavata"
"593","1"," 68",110,43.4821,-3.3442,73.5,71600,32,"N00","Raja clavata"
"596","1"," 68",113,43.5181,-2.8984,131.5,56150,67,"N00","Raja clavata"
"600","1"," 68",117,43.393,-2.3025,101.5,9000,9,"N00","Raja clavata"
"601","1"," 68",118,43.3692,-2.0338,97,13700,13,"N00","Raja clavata"
